question,answers,ctxs,nq_annotated_gold.title,nq_annotated_gold.long_answer,nq_annotated_gold.chunked_long_answer,nq_annotated_gold.short_answers
when was the last time the los angeles lakers won a championship,"['2010', 'in 2010']","[{'title': 'Los Angeles Lakers', 'text': ""Los Angeles Lakers are an American professional basketball team based in Los Angeles. The Lakers compete in the National Basketball Association (NBA), as a member of the league's Western Conference Pacific Division. The Lakers play their home games at Staples Center, an arena shared with the NBA's Los Angeles Clippers, the Los Angeles Sparks of the Women's National Basketball Association, and the Los Angeles Kings of the National Hockey League. The Lakers are one of the most successful teams in the history of the NBA, and have won 16 NBA championships (11 in Los Angeles), their last being in 2010."", 'hasanswer': True, 'isgold': True}]",Los Angeles Lakers,"The Los Angeles Lakers are an American professional basketball team based in Los Angeles. The Lakers compete in the National Basketball Association (NBA), as a member of the league's Western Conference Pacific Division. The Lakers play their home games at Staples Center, an arena shared with the NBA's Los Angeles Clippers, the Los Angeles Sparks of the Women's National Basketball Association, and the Los Angeles Kings of the National Hockey League. The Lakers are one of the most successful teams in the history of the NBA, and have won 16 NBA championships (11 in Los Angeles), their last being in 2010.","Los Angeles Lakers are an American professional basketball team based in Los Angeles. The Lakers compete in the National Basketball Association (NBA), as a member of the league's Western Conference Pacific Division. The Lakers play their home games at Staples Center, an arena shared with the NBA's Los Angeles Clippers, the Los Angeles Sparks of the Women's National Basketball Association, and the Los Angeles Kings of the National Hockey League. The Lakers are one of the most successful teams in the history of the NBA, and have won 16 NBA championships (11 in Los Angeles), their last being in 2010.","['2010', 'in 2010']"
where is the eagle creek fire located in oregon,"['Cascade Locks', 'Columbia River Gorge']","[{'title': 'Eagle Creek Fire', 'text': 'The Eagle Creek Fire was a destructive wildfire in the Columbia River Gorge in the U.S. states of Oregon and Washington.  The fire was started on September 2, 2017, reportedly caused by teenagers igniting fireworks during a burn ban. In mid-September, highway closures and local evacuations were gradually being lifted. As of September 28, 2017, the fire had consumed 48,831 acres (19,761 ha) and was 46% contained. In late October, fire growth was slowed by rain. On November 30, 2017, the fire was declared fully contained but not yet completely out.', 'hasanswer': True, 'isgold': True}]",Eagle Creek Fire,"The Eagle Creek Fire was a destructive wildfire in the Columbia River Gorge in the U.S. states of Oregon and Washington. The fire was started on September 2, 2017, reportedly caused by teenagers igniting fireworks during a burn ban. In mid-September, highway closures and local evacuations were gradually being lifted. As of September 28, 2017, the fire had consumed 48,831 acres (19,761 ha) and was 46% contained. In late October, fire growth was slowed by rain. On November 30, 2017, the fire was declared fully contained but not yet completely out.","The Eagle Creek Fire was a destructive wildfire in the Columbia River Gorge in the U.S. states of Oregon and Washington.  The fire was started on September 2, 2017, reportedly caused by teenagers igniting fireworks during a burn ban. In mid-September, highway closures and local evacuations were gradually being lifted. As of September 28, 2017, the fire had consumed 48,831 acres (19,761 ha) and was 46% contained. In late October, fire growth was slowed by rain. On November 30, 2017, the fire was declared fully contained but not yet completely out.",['Columbia River Gorge']
different ways to spell corey for a boy,"['Coire', 'Kori', 'Correy', 'Cory', 'Khouri', 'Corrie', 'Corie', 'Kory', 'Corey']","[{'title': 'Cory', 'text': 'Alternative spellings for Cory are Corey, Coire, Corie, Corrie, Curry (surname), Correy, Kory, Khouri, and Kori.', 'hasanswer': True, 'isgold': True}]",Cory,"Alternative spellings for Cory are Corey, Coire, Corie, Corrie, Curry (surname), Correy, Kory, Khouri, and Kori.","Alternative spellings for Cory are Corey, Coire, Corie, Corrie, Curry (surname), Correy, Kory, Khouri, and Kori.","['Coire', 'Corey', 'Corie', 'Correy', 'Corrie', 'Cory', 'Khouri', 'Kori', 'Kory']"
who sang the song should have been a cowboy,['Toby Keith'],"[{'title': ""Should've Been a Cowboy"", 'text': '""Should\'ve Been a Cowboy"" is a song written and recorded by American country music artist Toby Keith. It was released on February 8, 1993 as his debut single, and was served as the first single released from Keith\'s self-titled debut studio album, Toby Keith.  On June 5, 1993, it reached number one on the US Hot Country Songs chart and the Canadian RPM Country Tracks. It also peaked at number 93 on the Billboard Hot 100, making it a minor crossover hit.', 'hasanswer': True, 'isgold': True}]",Should've Been a Cowboy,"""Should've Been a Cowboy"" is a song written and recorded by American country music artist Toby Keith. It was released on February 8, 1993 as his debut single, and was served as the first single released from Keith's self-titled debut studio album, Toby Keith. On June 5, 1993, it reached number one on the US Hot Country Songs chart and the Canadian RPM Country Tracks. It also peaked at number 93 on the Billboard Hot 100, making it a minor crossover hit.","""Should've Been a Cowboy"" is a song written and recorded by American country music artist Toby Keith. It was released on February 8, 1993 as his debut single, and was served as the first single released from Keith's self-titled debut studio album, Toby Keith.  On June 5, 1993, it reached number one on the US Hot Country Songs chart and the Canadian RPM Country Tracks. It also peaked at number 93 on the Billboard Hot 100, making it a minor crossover hit.",['Toby Keith']
how many counties does the state of georgia have,"['159', '159 counties']","[{'title': 'List of counties in Georgia (U.S. state)', 'text': 'The U.S. State of Georgia is divided into 159 counties, more than any other state except for Texas, which has 254 counties.  Under the Georgia State Constitution, all of its counties are granted home rule to deal with problems that are purely local in nature. Also, eight consolidated city-counties have been established in Georgia: Athens–Clarke County, Augusta–Richmond County, Columbus–Muscogee County, Georgetown–Quitman County, Statenville–Echols County, Macon–Bibb County, Cusseta–Chattahoochee County, and Preston-Webster County.', 'hasanswer': True, 'isgold': True}]",List of counties in Georgia (U.S. state),"The U.S. State of Georgia is divided into 159 counties, more than any other state except for Texas, which has 254 counties. Under the Georgia State Constitution, all of its counties are granted home rule to deal with problems that are purely local in nature. Also, eight consolidated city-counties have been established in Georgia: Athens–Clarke County, Augusta–Richmond County, Columbus–Muscogee County, Georgetown–Quitman County, Statenville–Echols County, Macon–Bibb County, Cusseta–Chattahoochee County, and Preston-Webster County.","The U.S. State of Georgia is divided into 159 counties, more than any other state except for Texas, which has 254 counties.  Under the Georgia State Constitution, all of its counties are granted home rule to deal with problems that are purely local in nature. Also, eight consolidated city-counties have been established in Georgia: Athens–Clarke County, Augusta–Richmond County, Columbus–Muscogee County, Georgetown–Quitman County, Statenville–Echols County, Macon–Bibb County, Cusseta–Chattahoochee County, and Preston-Webster County.","['159', '159 counties']"
who sang picking up pebbles and throwing them into the sea,['Matt Flinders'],"[{'title': 'Matt Flinders', 'text': 'Matt Flinders (born Sylvan Louis Bonett c. 1937, Alexandria, Egypt) is a former singer and TV presenter who rose to prominence in the late 1960s in Australia. He had top\xa05 hit singles with his cover versions of ""Picking Up Pebbles"" (1969) and ""Butterfly"" (1971). He hosted his own variety shows, The Matt Flinders Show (1972) and Matt Flinders and Friends (1973) on ABC-TV.', 'hasanswer': True, 'isgold': True}]",Matt Flinders,"Matt Flinders (born Sylvan Louis Bonett c. 1937, Alexandria, Egypt) is a former singer and TV presenter who rose to prominence in the late 1960s in Australia. He had top 5 hit singles with his cover versions of ""Picking Up Pebbles"" (1969) and ""Butterfly"" (1971). He hosted his own variety shows, The Matt Flinders Show (1972) and Matt Flinders and Friends (1973) on ABC-TV.","Matt Flinders (born Sylvan Louis Bonett c. 1937, Alexandria, Egypt) is a former singer and TV presenter who rose to prominence in the late 1960s in Australia. He had top 5 hit singles with his cover versions of ""Picking Up Pebbles"" (1969) and ""Butterfly"" (1971). He hosted his own variety shows, The Matt Flinders Show (1972) and Matt Flinders and Friends (1973) on ABC-TV.",['Matt Flinders']
which is the ring finger for male in india,"['the left ring finger', 'left ring finger']","[{'title': 'Ring finger', 'text': 'Rings are not traditional in an Indian wedding. However, in modern society it is becoming a practice to wear rings for engagements and not for actual marriage. Though the left hand is considered inauspicious for religious activities, a ring (not to be called wedding ring) is still worn on the left hand. Men generally wear the rings on the right hand and the women on the left hands. If a wedding ring is worn, the ring is worn on the left ring finger mostly for men.', 'hasanswer': True, 'isgold': True}]",Ring finger,"Rings are not traditional in an Indian wedding. However, in modern society it is becoming a practice to wear rings for engagements and not for actual marriage. Though the left hand is considered inauspicious for religious activities, a ring (not to be called wedding ring) is still worn on the left hand. Men generally wear the rings on the right hand and the women on the left hands. If a wedding ring is worn, the ring is worn on the left ring finger mostly for men.","Rings are not traditional in an Indian wedding. However, in modern society it is becoming a practice to wear rings for engagements and not for actual marriage. Though the left hand is considered inauspicious for religious activities, a ring (not to be called wedding ring) is still worn on the left hand. Men generally wear the rings on the right hand and the women on the left hands. If a wedding ring is worn, the ring is worn on the left ring finger mostly for men.","['left ring finger', 'the left ring finger']"
who played king theoden in lord of the rings,['Bernard Hill'],"[{'title': 'Bernard Hill', 'text': ""Bernard Hill (born 17 December 1944) is an English film, stage and television actor.  He is known for playing Yosser Hughes, the troubled 'hard man' whose life is falling apart in Alan Bleasdale's groundbreaking 1980s TV drama Boys from the Blackstuff and, more recently, as the Duke of Norfolk in the BBC adaptation of Dame Hilary Mantel's Wolf Hall. He is also known for roles in blockbuster films, including Captain Edward Smith in Titanic, King Théoden in The Lord of the Rings film trilogy and Luther Plunkitt, the Warden of San Quentin Prison in the Clint Eastwood film True Crime."", 'hasanswer': True, 'isgold': True}]",Bernard Hill,"Bernard Hill (born 17 December 1944) is an English film, stage and television actor. He is known for playing Yosser Hughes, the troubled 'hard man' whose life is falling apart in Alan Bleasdale's groundbreaking 1980s TV drama Boys from the Blackstuff and, more recently, as the Duke of Norfolk in the BBC adaptation of Dame Hilary Mantel's Wolf Hall. He is also known for roles in blockbuster films, including Captain Edward Smith in Titanic, King Théoden in The Lord of the Rings film trilogy and Luther Plunkitt, the Warden of San Quentin Prison in the Clint Eastwood film True Crime.","Bernard Hill (born 17 December 1944) is an English film, stage and television actor.  He is known for playing Yosser Hughes, the troubled 'hard man' whose life is falling apart in Alan Bleasdale's groundbreaking 1980s TV drama Boys from the Blackstuff and, more recently, as the Duke of Norfolk in the BBC adaptation of Dame Hilary Mantel's Wolf Hall. He is also known for roles in blockbuster films, including Captain Edward Smith in Titanic, King Théoden in The Lord of the Rings film trilogy and Luther Plunkitt, the Warden of San Quentin Prison in the Clint Eastwood film True Crime.",['Bernard Hill']
dark parables return of the salt princess release date,['September 2017'],"[{'title': 'Dark Parables', 'text': 'The 14th game of this series. The BETA game was released in September 2017.  This episode will be developed by Blue Tea Games who return to the series since 2014.', 'hasanswer': True, 'isgold': True}]",Dark Parables,The 14th game of this series.The BETA game was released in September 2017. This episode will be developed by Blue Tea Games who return to the series since 2014.,The 14th game of this series. The BETA game was released in September 2017.  This episode will be developed by Blue Tea Games who return to the series since 2014.,['September 2017']
where was the movie 500 days of summer filmed,['Los Angeles'],"[{'title': '500 Days of Summer', 'text': ""David Ng of the Los Angeles Times describes architecture as a star of the film. Tom is seen reading Alain de Botton's The Architecture of Happiness. The film was originally set in San Francisco but was later moved to Los Angeles and the script rewritten to make better use of the location. Buildings used include the Los Angeles Music Center (which includes the Dorothy Chandler Pavilion) and the towers of California Plaza.  The older Fine Arts Building is featured in the film, in a scene where Tom shows it to Summer and mentions its designers, Walker and Eisen, two of"", 'hasanswer': True, 'isgold': True}]",500 Days of Summer,"David Ng of the Los Angeles Times describes architecture as a star of the film. Tom is seen reading Alain de Botton's The Architecture of Happiness. The film was originally set in San Francisco but was later moved to Los Angeles and the script rewritten to make better use of the location. Buildings used include the Los Angeles Music Center (which includes the Dorothy Chandler Pavilion) and the towers of California Plaza. The older Fine Arts Building is featured in the film, in a scene where Tom shows it to Summer and mentions its designers, Walker and Eisen, two of his favorite architects, although he incorrectly gives the partners' names as ""Walker and Eisner.""","David Ng of the Los Angeles Times describes architecture as a star of the film. Tom is seen reading Alain de Botton's The Architecture of Happiness. The film was originally set in San Francisco but was later moved to Los Angeles and the script rewritten to make better use of the location. Buildings used include the Los Angeles Music Center (which includes the Dorothy Chandler Pavilion) and the towers of California Plaza.  The older Fine Arts Building is featured in the film, in a scene where Tom shows it to Summer and mentions its designers, Walker and Eisen, two of",['Los Angeles']
who played emma in h2o just add water,['Claire Rhiannon Holt'],"[{'title': 'Claire Holt', 'text': 'Claire Rhiannon Holt (born 11 June 1988) is an Australian actress, known for her roles as Rebekah Mikaelson in the television series The Vampire Diaries and its spinoff series The Originals, Samara Cook in Pretty Little Liars, Emma in H2O: Just Add Water, and Kate in the survival horror film 47 Meters Down.', 'hasanswer': True, 'isgold': True}]",Claire Holt,"Claire Rhiannon Holt (born 11 June 1988) is an Australian actress, known for her roles as Rebekah Mikaelson in the television series The Vampire Diaries and its spinoff series The Originals, Samara Cook in Pretty Little Liars, Emma in H2O: Just Add Water, and Kate in the survival horror film 47 Meters Down.","Claire Rhiannon Holt (born 11 June 1988) is an Australian actress, known for her roles as Rebekah Mikaelson in the television series The Vampire Diaries and its spinoff series The Originals, Samara Cook in Pretty Little Liars, Emma in H2O: Just Add Water, and Kate in the survival horror film 47 Meters Down.",['Claire Rhiannon Holt']
where can carbon be found in the biosphere,"['other living organisms', 'The terrestrial biosphere', 'plants', 'soil']","[{'title': 'Carbon cycle', 'text': 'The terrestrial biosphere includes the organic carbon in all land-living organisms, both alive and dead, as well as carbon stored in soils. About 500 gigatons of carbon are stored above ground in plants and other living organisms, while soil holds approximately 1,500 gigatons of carbon. Most carbon in the terrestrial biosphere is organic carbon,  while about a third of soil carbon is stored in inorganic forms, such as calcium carbonate.  Organic carbon is a major component of all organisms living on earth. Autotrophs extract it from the air in the form of carbon dioxide, converting it into organic carbon, while', 'hasanswer': True, 'isgold': True}]",Carbon cycle,"The terrestrial biosphere includes the organic carbon in all land-living organisms, both alive and dead, as well as carbon stored in soils. About 500 gigatons of carbon are stored above ground in plants and other living organisms, while soil holds approximately 1,500 gigatons of carbon. Most carbon in the terrestrial biosphere is organic carbon,  while about a third of soil carbon is stored in inorganic forms, such as calcium carbonate. Organic carbon is a major component of all organisms living on earth. Autotrophs extract it from the air in the form of carbon dioxide, converting it into organic carbon, while heterotrophs receive carbon by consuming other organisms.
","The terrestrial biosphere includes the organic carbon in all land-living organisms, both alive and dead, as well as carbon stored in soils. About 500 gigatons of carbon are stored above ground in plants and other living organisms, while soil holds approximately 1,500 gigatons of carbon. Most carbon in the terrestrial biosphere is organic carbon,  while about a third of soil carbon is stored in inorganic forms, such as calcium carbonate.  Organic carbon is a major component of all organisms living on earth. Autotrophs extract it from the air in the form of carbon dioxide, converting it into organic carbon, while","['other living organisms', 'plants', 'soil']"
who is the winner of bigg boss kannada season,"['Chandan Shetty', 'rapper Chandan Shetty']","[{'title': 'Bigg Boss Kannada 5', 'text': 'Bigg Boss Kannada 5 (BBK5) was the fifth season of the Kannada television series Bigg Boss Kannada, that premiered on 15 October 2017. Sudeep reprised his role as the host of the show. The finale of the season took place 28 January 2018, and rapper Chandan Shetty was declared the winner of the show and was awarded the prize money of ₹50 lakh.  Sales representative Diwaker was voted the runner-up.', 'hasanswer': True, 'isgold': True}]",Bigg Boss Kannada 5,"Bigg Boss Kannada 5 (BBK5) was the fifth season of the Kannada television series Bigg Boss Kannada, that premiered on 15 October 2017. Sudeep reprised his role as the host of the show. The finale of the season took place 28 January 2018, and rapper Chandan Shetty was declared the winner of the show and was awarded the prize money of ₹50 lakh. Sales representative Diwaker was voted the runner-up.","Bigg Boss Kannada 5 (BBK5) was the fifth season of the Kannada television series Bigg Boss Kannada, that premiered on 15 October 2017. Sudeep reprised his role as the host of the show. The finale of the season took place 28 January 2018, and rapper Chandan Shetty was declared the winner of the show and was awarded the prize money of ₹50 lakh.  Sales representative Diwaker was voted the runner-up.","['Chandan Shetty', 'rapper Chandan Shetty']"
where was the outlaw of josey wales filmed,"['Kanab, Utah', 'Lake Powell', 'Wyoming', 'Utah', 'Oroville, California', 'Arizona']","[{'title': 'The Outlaw Josey Wales', 'text': ""Principal photography began on October 6, 1975 in Lake Powell. A rift between Eastwood and Kaufman developed during the filming. Kaufman insisted on filming with a meticulous attention to detail, which caused disagreements with Eastwood, not to mention the attraction the two shared towards Locke and apparent jealousy on Kaufman's part in regards to their emerging relationship. One evening, Kaufman insisted on finding a beer can as a prop to be used in a scene, but while he was absent, Eastwood ordered Surtees to quickly shoot the scene as light was fading and then drove away, leaving before Kaufman had returned. Soon after, filming moved to Kanab, Utah. "", 'hasanswer': True, 'isgold': True}]",The Outlaw Josey Wales,"Principal photography began on October 6, 1975 in Lake Powell. A rift between Eastwood and Kaufman developed during the filming. Kaufman insisted on filming with a meticulous attention to detail, which caused disagreements with Eastwood, not to mention the attraction the two shared towards Locke and apparent jealousy on Kaufman's part in regards to their emerging relationship. One evening, Kaufman insisted on finding a beer can as a prop to be used in a scene, but while he was absent, Eastwood ordered Surtees to quickly shoot the scene as light was fading and then drove away, leaving before Kaufman had returned. Soon after, filming moved to Kanab, Utah. On October 24, 1975, Kaufman was fired at Eastwood's command by producer Bob Daley. The sacking caused an outrage amongst the Directors Guild of America and other important Hollywood executives, since the director had already worked hard on the film, including completing all of the pre-production. Pressure mounted on Warner Bros. and Eastwood to back down, but their refusal to do so resulted in a fine, reported to be around $60,000 for the violation. This resulted in the Director's Guild passing new legislation, known as 'the Eastwood Rule', which prohibits an actor or producer from firing the director and then becoming the director himself. From then on, the film was directed by Eastwood himself with Daley second-in-command, but with Kaufman's planning already in place, the team were able to finish making the film efficiently.","Principal photography began on October 6, 1975 in Lake Powell. A rift between Eastwood and Kaufman developed during the filming. Kaufman insisted on filming with a meticulous attention to detail, which caused disagreements with Eastwood, not to mention the attraction the two shared towards Locke and apparent jealousy on Kaufman's part in regards to their emerging relationship. One evening, Kaufman insisted on finding a beer can as a prop to be used in a scene, but while he was absent, Eastwood ordered Surtees to quickly shoot the scene as light was fading and then drove away, leaving before Kaufman had returned. Soon after, filming moved to Kanab, Utah. ","['Kanab, Utah', 'Lake Powell']"
where does the saskatchewan river start and end,"['central Saskatchewan', 'the Hudson Bay', 'Saskatchewan River Forks, Saskatchewan', 'Saskatchewan Glacier, Alberta']","[{'title': 'North Saskatchewan River', 'text': 'The North Saskatchewan River is a glacier-fed river that flows from the Canadian Rockies continental divide east to central Saskatchewan, where it joins with another major river to make up the Saskatchewan River. Its water flows eventually into the Hudson Bay.', 'hasanswer': True, 'isgold': True}]",North Saskatchewan River,"The North Saskatchewan River is a glacier-fed river that flows from the Canadian Rockies continental divide east to central Saskatchewan, where it joins with another major river to make up the Saskatchewan River. Its water flows eventually into the Hudson Bay.","The North Saskatchewan River is a glacier-fed river that flows from the Canadian Rockies continental divide east to central Saskatchewan, where it joins with another major river to make up the Saskatchewan River. Its water flows eventually into the Hudson Bay.","['central Saskatchewan', 'the Hudson Bay']"
where are the spanish steps located in italy,['Rome'],"[{'title': 'Spanish Steps', 'text': 'The Spanish Steps (Italian: Scalinata di Trinità dei Monti) are a set of steps in Rome, Italy, climbing a steep slope between the Piazza di Spagna at the base and Piazza Trinità dei Monti, dominated by the Trinità dei Monti church at the top.', 'hasanswer': True, 'isgold': True}]",Spanish Steps,"The Spanish Steps (Italian: Scalinata di Trinità dei Monti) are a set of steps in Rome, Italy, climbing a steep slope between the Piazza di Spagna at the base and Piazza Trinità dei Monti, dominated by the Trinità dei Monti church at the top.","The Spanish Steps (Italian: Scalinata di Trinità dei Monti) are a set of steps in Rome, Italy, climbing a steep slope between the Piazza di Spagna at the base and Piazza Trinità dei Monti, dominated by the Trinità dei Monti church at the top.",['Rome']
what does the m number mean on a pint glass,"['imperial fluid ounces', 'the manufacturing company or site']","[{'title': 'Pint glass', 'text': 'beer must be sold in Imperial measure (see Pint § Effects of metrication). United Kingdom law requires certain steps be taken to ensure that a pint of beer is indeed a pint. Though this can be achieved using ""metered dispense"" (calibrated pumps), the more common solution is to use certified one-pint glasses. Until recently these had a crown stamp indicating that the certification had been done by an agency of the Crown. The number etched upon the glasses stands for the manufacturing company or site.  Most pint glasses used in the United Kingdom today have actually been produced in France.', 'hasanswer': True, 'isgold': True}]",Pint glass,"In the United Kingdom, draught beer must be sold in Imperial measure (see Pint § Effects of metrication). United Kingdom law requires certain steps be taken to ensure that a pint of beer is indeed a pint. Though this can be achieved using ""metered dispense"" (calibrated pumps), the more common solution is to use certified one-pint glasses. Until recently these had a crown stamp indicating that the certification had been done by an agency of the Crown. The number etched upon the glasses stands for the manufacturing company or site. Most pint glasses used in the United Kingdom today have actually been produced in France.","beer must be sold in Imperial measure (see Pint § Effects of metrication). United Kingdom law requires certain steps be taken to ensure that a pint of beer is indeed a pint. Though this can be achieved using ""metered dispense"" (calibrated pumps), the more common solution is to use certified one-pint glasses. Until recently these had a crown stamp indicating that the certification had been done by an agency of the Crown. The number etched upon the glasses stands for the manufacturing company or site.  Most pint glasses used in the United Kingdom today have actually been produced in France.",['the manufacturing company or site']
other than water what else has hydrogen bonds,['inorganic molecules such as water'],"[{'title': 'Hydrogen bond', 'text': 'Hydrogen bonds can occur between molecules (intermolecular) or within different parts of a single molecule (intramolecular). Depending on the nature of the donor and acceptor atoms which constitute the bond, their geometry, and environment, the energy of a hydrogen bond can vary between 1 and 40 kcal/mol. This makes them somewhat stronger than a van der Waals interaction, and weaker than covalent or ionic bonds. This type of bond can occur in inorganic molecules such as water and in organic molecules like DNA and proteins.', 'hasanswer': True, 'isgold': True}]",Hydrogen bond,"Hydrogen bonds can occur between molecules (intermolecular) or within different parts of a single molecule (intramolecular). Depending on the nature of the donor and acceptor atoms which constitute the bond, their geometry, and environment, the energy of a hydrogen bond can vary between 1 and 40 kcal/mol. This makes them somewhat stronger than a van der Waals interaction, and weaker than covalent or ionic bonds. This type of bond can occur in inorganic molecules such as water and in organic molecules like DNA and proteins.","Hydrogen bonds can occur between molecules (intermolecular) or within different parts of a single molecule (intramolecular). Depending on the nature of the donor and acceptor atoms which constitute the bond, their geometry, and environment, the energy of a hydrogen bond can vary between 1 and 40 kcal/mol. This makes them somewhat stronger than a van der Waals interaction, and weaker than covalent or ionic bonds. This type of bond can occur in inorganic molecules such as water and in organic molecules like DNA and proteins.",['inorganic molecules such as water']
when boy meets girl waiting for a star to fall,['1988'],"[{'title': 'Waiting for a Star to Fall', 'text': '""Waiting for a Star to Fall"" is a song released by the pop duo Boy Meets Girl in 1988.  It was a worldwide hit and became their signature song.', 'hasanswer': True, 'isgold': True}]",Waiting for a Star to Fall,"""Waiting for a Star to Fall"" is a song released by the pop duo Boy Meets Girl in 1988. It was a worldwide hit and became their signature song.","""Waiting for a Star to Fall"" is a song released by the pop duo Boy Meets Girl in 1988.  It was a worldwide hit and became their signature song.",['1988']
trick taking card game name derived from spanish for man,['Skat'],"[{'title': 'Skat (card game)', 'text': 'Skat (German pronunciation: [ˈskaːt]) is a 3-player trick-taking card game devised in early 19th-century Germany.  Along with Doppelkopf it is the most popular card game in Germany and Silesia.', 'hasanswer': True, 'isgold': True}]",Skat (card game),Skat (German pronunciation: [ˈskaːt]) is a 3-player trick-taking card game devised in early 19th-century Germany. Along with Doppelkopf it is the most popular card game in Germany and Silesia.,Skat (German pronunciation: [ˈskaːt]) is a 3-player trick-taking card game devised in early 19th-century Germany.  Along with Doppelkopf it is the most popular card game in Germany and Silesia.,['Skat']
what percentage of the population is naturally blonde,['2%'],"[{'title': 'Human hair color', 'text': ""or sandy blond color. Many children born with blond hair develop darker hair as they age, with the majority of natural blonds developing a hair color of a dark blond hue by the time they reach middle age. Pregnancy hormones hasten this process. Natural light blond hair is rare in adulthood, with claims of the world's population ranging from 2% naturally blond to 16% in the US.  Blond hair is most commonly found in Northern and Western Europeans and their descendants but can be found spread around most of Europe. Studies in 2012 showed that naturally blond hair of Melanesians"", 'hasanswer': True, 'isgold': True}]",Human hair color,"Blond hair can have almost any proportion of pheomelanin and eumelanin, but has only small amounts of both. More pheomelanin creates a more golden or strawberry blond color, and more eumelanin creates an ash or sandy blond color. Many children born with blond hair develop darker hair as they age, with the majority of natural blonds developing a hair color of a dark blond hue by the time they reach middle age. Pregnancy hormones hasten this process. Natural light blond hair is rare in adulthood, with claims of the world's population ranging from 2% naturally blond to 16% in the US. Blond hair is most commonly found in Northern and Western Europeans and their descendants but can be found spread around most of Europe. Studies in 2012 showed that naturally blond hair of Melanesians is caused by a recessive mutation in tyrosinase-related protein 1 (TYRP1). In the Solomon Islands, 26% of the population carry the gene; however, it is absent outside of Oceania.","or sandy blond color. Many children born with blond hair develop darker hair as they age, with the majority of natural blonds developing a hair color of a dark blond hue by the time they reach middle age. Pregnancy hormones hasten this process. Natural light blond hair is rare in adulthood, with claims of the world's population ranging from 2% naturally blond to 16% in the US.  Blond hair is most commonly found in Northern and Western Europeans and their descendants but can be found spread around most of Europe. Studies in 2012 showed that naturally blond hair of Melanesians",['2%']
who sang first line of we are the world,"['Lionel Richie', 'Kenny Rogers', 'James Ingram', 'Billy Joel', 'Tina Turner', 'Stevie Wonder', 'Paul Simon']","[{'title': 'We Are the World', 'text': 'been described as ""an appeal to human compassion"". The first lines in the song\'s repetitive chorus proclaim, ""We are the world, we are the children, we are the ones who make a brighter day, so let\'s start giving"". ""We Are the World"" opens with Lionel Richie, Stevie Wonder, Paul Simon, Kenny Rogers, James Ingram, Tina Turner, and Billy Joel singing the first verse.  Michael Jackson and Diana Ross follow, completing the first chorus together. Dionne Warwick, Willie Nelson, and Al Jarreau sing the second verse, before Bruce Springsteen, Kenny Loggins, Steve Perry, and Daryl Hall go through the second chorus.', 'hasanswer': True, 'isgold': True}]",We Are the World,"""We Are the World"" is sung from a first person viewpoint, allowing the audience to ""internalize"" the message by singing the word we together. It has been described as ""an appeal to human compassion"". The first lines in the song's repetitive chorus proclaim, ""We are the world, we are the children, we are the ones who make a brighter day, so let's start giving"". ""We Are the World"" opens with Lionel Richie, Stevie Wonder, Paul Simon, Kenny Rogers, James Ingram, Tina Turner, and Billy Joel singing the first verse. Michael Jackson and Diana Ross follow, completing the first chorus together. Dionne Warwick, Willie Nelson, and Al Jarreau sing the second verse, before Bruce Springsteen, Kenny Loggins, Steve Perry, and Daryl Hall go through the second chorus. Co-writer Jackson, Huey Lewis, Cyndi Lauper, and Kim Carnes follow with the song's bridge. This structuring of the song is said to ""create a sense of continuous surprise and emotional buildup"". ""We Are the World"" concludes with Bob Dylan and Ray Charles singing a full chorus, Wonder and Springsteen duetting, and ad libs from Charles and Ingram.","been described as ""an appeal to human compassion"". The first lines in the song's repetitive chorus proclaim, ""We are the world, we are the children, we are the ones who make a brighter day, so let's start giving"". ""We Are the World"" opens with Lionel Richie, Stevie Wonder, Paul Simon, Kenny Rogers, James Ingram, Tina Turner, and Billy Joel singing the first verse.  Michael Jackson and Diana Ross follow, completing the first chorus together. Dionne Warwick, Willie Nelson, and Al Jarreau sing the second verse, before Bruce Springsteen, Kenny Loggins, Steve Perry, and Daryl Hall go through the second chorus.","['Billy Joel', 'James Ingram', 'Kenny Rogers', 'Lionel Richie', 'Paul Simon', 'Stevie Wonder', 'Tina Turner']"
